Organisation,Address,Website,latitude,longitude,geopoint
@workspaces,"Level 5, 171 Collins Street, Melbourne 3000",https://www.atworkspaces.com/locations/melbourne,-37.815447,144.968789,"-37.815447, 144.968789"
25 King Collective,"25 King Street, Melbourne 3000",https://www.25king.com.au/,-37.81984,144.95703,"-37.81984, 144.95703"
Bank House,"11-19 Bank Place, Melbourne 3000",https://officespace.com.au/melbourne/106620/,-37.81658,144.96023,"-37.81658, 144.96023"
Creative Cubes,"333 Drummond Street, Carlton 3053",https://creativecubes.co/locations/carlton/,-37.798057,144.968231,"-37.798057, 144.968231"
co171ns,"171 Collins Street, Level 5, Melbourne 3000",https://officespace.com.au/melbourne/76647/,-37.81524,144.96818,"-37.81524, 144.96818"
Dimension5,"Level 1, 10 Dorcas Street, South Melbourne 3205",http://www.dimension5hub.com.au,-37.8299056,144.9699339,"-37.8299056, 144.9699339"
Hub Parliament Station,"1 Nicholson  Street, Melbourne 3000",https://www.hubaustralia.com/locations/melbourne/,-37.77971,144.97791,"-37.77971, 144.97791"
Our Community House,"552 Victoria Street, North Melbourne 3051",https://ochouse.com.au/,-37.80471,144.9474,"-37.80471, 144.9474"
Regus,"385 Bourke Street, Melbourne 3000",https://www.regus.com.au/offices/australia/victoria/melbourne/coworking-space,-37.81455,144.96293,"-37.81455, 144.96293"
Regus,"367 Collins Street, Melbourne 3000",https://www.regus.com.au/offices/australia/victoria/melbourne/coworking-space,-37.81694,144.96233,"-37.81694, 144.96233"
Rialto,"525 Collins Street, Melbourne 3000",Office Space in Melbourne | Spaces (http://spacesworks.com),-37.818575,144.957666,"-37.818575, 144.957666"
Servcorp,"Level 2, Riverside Quay, 1 Southbank Boulevard, Southbank 3006",http://www.servcorp.com.au,-37.821008,144.962861,"-37.821008, 144.962861"
Space Station,"Level 18, 461 Bourke Street, Melbourne 3000",https://spacestation.net.au/,-37.815537,144.960256,"-37.815537, 144.960256"
Victory Offices,"The Dome – Level 14, 333 Collins Street Melbourne 3000",http://www.vcso.com.au/co-working/,-37.8164207,144.9633672,"-37.8164207, 144.9633672"
Wework,"152 Elizabeth Street, Melbourne 3000",http://www.wework.com/l/melbourne,-37.8144582,144.963628,"-37.8144582, 144.963628"
Wework,"401 Collins Street, Melbourne 3000",http://www.wework.com/l/melbourne,-37.816981,144.960678,"-37.816981, 144.960678"
Wework,120 Spencer Street Melbourne VIC 3000,http://www.wework.com/l/melbourne,-37.818212,144.954332,"-37.818212, 144.954332"
Work Club,"Level 2, 287 Collins Street, Melbourne 3000",http://workclubglobal.com/melbourne/,-37.8163321,144.9645095,"-37.8163321, 144.9645095"
Workspace365,"Level 8, 350 Collins Street Melbourne VIC 3000",https://www.workspace365.com.au/co-working,-37.816305,144.962863,"-37.816305, 144.962863"
Workspace365,"Ground Floor, 555 Bourke Street Melbourne VIC 3000",https://www.workspace365.com.au/co-working,-37.816202,144.957406,"-37.816202, 144.957406"
Workspace365,"Ground Floor, 485 La Trobe Street, Melbourne VIC 3000",https://www.workspace365.com.au/co-working,-37.812563,144.954838,"-37.812563, 144.954838"
Altitude Coworking,"Level 7, 575 Bourke Street, Melbourne 3000",https://altitudecowork.com.au,-37.8165,144.956682,"-37.8165, 144.956682"
Chantilly Studio Inc.,"Level 9, 37 Swanston Street, Melbourne 3000",http://www.creativespaces.net.au/find-a-space/chantilly-studio-in-the-nicholas-building,-37.816743,144.966758,"-37.816743, 144.966758"
Framework Melbourne,"Suite 1, Level 1, 458 Swanston Street, Carlton 3053",http://www.framework.melbourne,-37.8061568,144.9633622,"-37.8061568, 144.9633622"
Hub Collins Street,"Georges Building, Mezzanine and levels 2 & 3, 162 Collins Street, Melbourne 3000",https://www.hubaustralia.com/locations/melbourne/,-37.81483,144.96805,"-37.81483, 144.96805"
Hub Flinders Street,"Levels 2,3 and 7 180 Flinders Street",https://www.hubaustralia.com/locations/melbourne/,-37.816894,144.968568,"-37.816894, 144.968568"
JustCo,"276 Flinders Street, Melbourne 3000",https://www.justcoglobal.com/au/locations/melbourne,-37.81789,144.9652,"-37.81789, 144.9652"
JustCo,"447 Collins Street, Levels 4-5 (Collins Arch), Melbourne 3000",https://www.justcoglobal.com/au/locations/melbourne,-37.81721,144.96138,"-37.81721, 144.96138"
Melbourne Blockchain Centre,"710 Collins Street, Melbourne 3000",http://blockchaincentre.com.au/,-37.819908,144.950386,"-37.819908, 144.950386"
Nous House Melbourne,"Level 19, 567 Collins Street, Melbourne 3000",http://www.noushouse.co,-37.8187003,144.9555926,"-37.8187003, 144.9555926"
