Census_year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading_name,Business_address,Number of patrons,Longitude,Latitude,Location
2002,11,108971,108971,24-40 Spencer Street MELBOURNE 3000,Melbourne (CBD),Holiday Inn On Flinders Melbourne,561-585 Spencer Street MELBOURNE 3000,100,144.95379,-37.82183,"-37.82183, 144.95379"
2002,11,108972,108972,10-22 Spencer Street MELBOURNE 3000,Melbourne (CBD),Explorers Inn,10-22 Spencer Street MELBOURNE 3000,50,144.95393,-37.82215,"-37.82215, 144.95393"
2002,13,108058,108058,7-11 Queen Street MELBOURNE 3000,Melbourne (CBD),The Bliss Lounge,"Basement , 11 Queen Street MELBOURNE 3000",210,144.96063,-37.82026,"-37.82026, 144.96063"
2002,14,103172,103172,31-39 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Connells Tavern,35 Elizabeth Street MELBOURNE 3000,350,144.963,-37.81906,"-37.81906, 144.963"
2002,15,103944,103944,277-279 Flinders Lane MELBOURNE 3000,Melbourne (CBD),De Biers,"Unit 1, Basement , 277 Flinders Lane MELBOURNE 3000",400,144.96398,-37.81888,"-37.81888, 144.96398"
2002,16,104018,104018,172-192 Flinders Street MELBOURNE 3000,Melbourne (CBD),Purple Emerald,"Ground , 191 Flinders Street MELBOURNE 3000",100,144.96725,-37.81824,"-37.81824, 144.96725"
2002,35,102143,102143,258-274 Collins Street MELBOURNE 3000,Melbourne (CBD),Australia On Collins Bar,"Shop 121, Basement , 260 Collins Street MELBOURNE 3000",11,144.96359,-37.81706,"-37.81706, 144.96359"
2002,35,109271,109271,125-133 Swanston Street MELBOURNE 3000,Melbourne (CBD),Hi Fi Bar & Ballroom,"Basement , 125 Swanston Street MELBOURNE 3000",800,144.96449,-37.81637,"-37.81637, 144.96449"
2002,37,102158,102158,86-88 Collins Street MELBOURNE 3000,Melbourne (CBD),Dr Martin's Tavern,86A Collins Street MELBOURNE 3000,291,144.96927,-37.81557,"-37.81557, 144.96927"
2002,43,108069,108069,131-141 Queen Street MELBOURNE 3000,Melbourne (CBD),The Turf Bar & Restaurant,"Unit 1, LwrGround , 131 Queen Street MELBOURNE 3000",400,144.95922,-37.81713,"-37.81713, 144.95922"
2002,46,101130,101130,193-199 Bourke Street MELBOURNE 3000,Melbourne (CBD),The Carlton Hotel,"Floor 1, 193-199 Bourke Street MELBOURNE 3000",200,144.96633,-37.81484,"-37.81484, 144.96633"
2002,46,105964,105964,188-194 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Gin Palace,10 Little Collins Street MELBOURNE 3000,150,144.96627,-37.81555,"-37.81555, 144.96627"
2002,46,108536,108536,115-127 Russell Street MELBOURNE 3000,Melbourne (CBD),Portland Hotel,115-127 Russell Street MELBOURNE 3000,414,144.96688,-37.8153,"-37.8153, 144.96688"
2002,48,101109,101109,39-43 Bourke Street MELBOURNE 3000,Melbourne (CBD),Spleen Central,41 Bourke Street MELBOURNE 3000,100,144.97073,-37.81357,"-37.81357, 144.97073"
2002,48,105968,105968,62-66 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Bridie O'Reillys,62-66 Little Collins Street MELBOURNE 3000,300,144.97013,-37.81445,"-37.81445, 144.97013"
2002,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),CBD Cafe Bar,"Part Ground , 174-192 Exhibition Street MELBOURNE 3000",190,144.96932,-37.81287,"-37.81287, 144.96932"
2002,58,105828,105828,19-25 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Cheers Bar & Grill,19 Little Bourke Street MELBOURNE 3000,350,144.97067,-37.81238,"-37.81238, 144.97067"
2002,61,105716,105716,597-603 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),The Men's Gallery,597-603 Lonsdale Street MELBOURNE 3000,675,144.95318,-37.81654,"-37.81654, 144.95318"
2002,62,105384,105384,204-208 King Street MELBOURNE 3000,Melbourne (CBD),Great Western Hotel,204-208 King Street MELBOURNE 3000,383,144.95417,-37.81685,"-37.81685, 144.95417"
2002,64,104376,104376,14-20 A'Beckett Street MELBOURNE 3000,Melbourne (CBD),Word Events,14-20 A'Beckett Street MELBOURNE 3000,200,144.95942,-37.81492,"-37.81492, 144.95942"
2002,84,103207,103207,315-321 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Tabaret At Melbourne Central,"Ground  & Levels 1, 315-321 Elizabeth Street MELBOURNE 3000",250,144.96016,-37.81289,"-37.81289, 144.96016"
2002,85,102597,102597,2-20 Drewery Place MELBOURNE 3000,Melbourne (CBD),Embassy Bar,9-13 Drewery Place MELBOURNE 3000,303,144.96265,-37.81294,"-37.81294, 144.96265"
2002,131,108844,108844,1-5 Spencer Street DOCKLANDS 3005,Docklands,Holiday Inn Melbourne,1 Spencer Street DOCKLANDS 3005,130,144.95378,-37.82436,"-37.82436, 144.95378"
2002,214,106186,106186,414-422 Lygon Street CARLTON 3053,Carlton,Percys Bar & Bistro,414 Lygon Street CARLTON 3053,120,144.9665,-37.79858,"-37.79858, 144.9665"
2002,215,108202,108202,415-421 Rathdowne Street CARLTON 3053,Carlton,Clare Castle Hotel,415 Rathdowne Street CARLTON 3053,50,144.96911,-37.79816,"-37.79816, 144.96911"
2002,267,106251,106251,66-88 Lygon Street CARLTON 3053,Carlton,Lagers On Lygon,"Part Ground 0, 66-0 Lygon Street CARLTON 3053",80,144.96526,-37.80694,"-37.80694, 144.96526"
2002,347,110920,110920,161-163 Errol Street NORTH MELBOURNE 3051,North Melbourne,Limerick Castle Hotel & Restaurant,161 Errol Street NORTH MELBOURNE 3051,50,144.94832,-37.8028,"-37.8028, 144.94832"
2002,369,103507,103507,86-90 Errol Street NORTH MELBOURNE 3051,North Melbourne,Court House Hotel,86-90 Errol Street NORTH MELBOURNE 3051,140,144.94864,-37.80452,"-37.80452, 144.94864"
2002,377,102236,102236,56-58 Courtney Street NORTH MELBOURNE 3051,North Melbourne,The Castle Hotel,56 Courtney Street NORTH MELBOURNE 3051,317,144.95172,-37.80253,"-37.80253, 144.95172"
2002,618,109993,109993,178-226 Wellington Parade EAST MELBOURNE 3002,East Melbourne,Hilton Hotels of Australia (Melbourne) Pty Ltd,178 Wellington Parade EAST MELBOURNE 3002,200,144.98218,-37.81746,"-37.81746, 144.98218"
2002,658,110266,110266,Brunton Avenue JOLIMONT 3002,East Melbourne,Spotless Services,Part 0-0 Brunton Avenue JOLIMONT 3002,2545,144.98205,-37.82168,"-37.82168, 144.98205"
2002,710,108617,108617,375-385 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Royce On St Kilda Road,375 St Kilda Road MELBOURNE 3004,120,144.97422,-37.83673,"-37.83673, 144.97422"
2002,1103,558180,558180,94-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Locker Room Club Bar,"Part Level 1, 140-0 Harbour Esplanade DOCKLANDS 3008",500,144.94615,-37.81812,"-37.81812, 144.94615"
2003,11,103993,103993,508-514 Flinders Street MELBOURNE 3000,Melbourne (CBD),Waterside Hotel,508-514 Flinders Street MELBOURNE 3000,400,144.95583,-37.8218,"-37.8218, 144.95583"
2003,14,103951,103951,341-347 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Bull And Bear Tavern,347 Flinders Lane MELBOURNE 3000,200,144.96172,-37.81946,"-37.81946, 144.96172"
2003,15,103944,103944,277-279 Flinders Lane MELBOURNE 3000,Melbourne (CBD),De Biers,"Unit 1, Basement , 277 Flinders Lane MELBOURNE 3000",400,144.96398,-37.81888,"-37.81888, 144.96398"
